,predict_time,auc,train_time,origin
StackedEnsemble_AllModels_AutoML_20191222_092133,0.70672790000026,0.6783784001190519,1.376,AutoML_2min
StackedEnsemble_BestOfFamily_AutoML_20191222_092133,0.48221209999974235,0.6741029879620803,0.793,AutoML_2min
GBM_5_AutoML_20191222_092133,0.08699070000011488,0.7030205404796666,1.07,AutoML_2min
GBM_1_AutoML_20191222_092133,0.07719129999986762,0.70658164106648,0.873,AutoML_2min
GBM_2_AutoML_20191222_092133,0.0810179000000062,0.70715397516802,0.844,AutoML_2min
GBM_grid__1_AutoML_20191222_092133_model_2,0.10966809999990801,0.6962587127108044,2.55,AutoML_2min
GBM_3_AutoML_20191222_092133,0.08185610000009547,0.7003828967425623,0.958,AutoML_2min
GBM_4_AutoML_20191222_092133,0.08950590000040393,0.7138293294078373,1.153,AutoML_2min
DRF_1_AutoML_20191222_092133,0.1007619000001796,0.6348705511380319,1.786,AutoML_2min
XRT_1_AutoML_20191222_092133,0.10166739999976926,0.6328382221042428,2.626,AutoML_2min
GBM_grid__1_AutoML_20191222_092133_model_3,0.8028798999998799,0.6689479590236134,0.172,AutoML_2min
DeepLearning_1_AutoML_20191222_092133,0.3333855000000767,0.652196226536514,0.889,AutoML_2min
GLM_1_AutoML_20191222_092133,0.044644699999935256,0.6133836890814098,0.236,AutoML_2min
